一	 yi_1
一千零六	 yi_1 qian_1 ling_2 liu_4
一半	 yi_2 ban_4
一厢情愿	 yi_4 xiang_1 qing_2 yuan_4
一发	 yi_1 fa_4
一句	 yi_1 ju_4
一只	 yi_1 zhi_1
一台	 yi_1 tai_2
一号	 yi_1 hao_4
一号线	 yi_1 hao_4 xian_4
一号通	 yi_1 hao_4 tong_1
一名	 yi_1 ming_2
一后	 yi_1 hou_4
一周	 yi_1 zhou_1
一品	 yi_1 pin_3
一四	 yi_1 si_4
一回	 yi_1 hui_2
一场	 yi_1 chang_3
一块	 yi_1 kuai_4
一声	 yi_1 sheng_1
一多	 yi_1 duo_1
一夜	 yi_1 ye_4
一大	 yi_1 da_4
一天	 yi_1 tian_1
一天到晚	 yi_1 tian_1 dao_4 wan_3
一头	 yi_1 tou_2
一套	 yi_1 tao_4
一如	 yi_1 ru_2
一定	 yi_2 ding_4
一家	 yi_1 jia_1
一家人	 yi_1 jia_1 ren_2
一小	 yi_1 xiao_3
一层	 yi_1 ceng_2
一届	 yi_1 jie_4
一峰	 yi_1 feng_1
一巷	 yi_1 xiang_4
一幢	 yi_1 chuang_2
一年	 yi_1 nian_2
一年级	 yi_4 nian_2 ji_2
一度	 yi_2 du_4
一张	 yi_1 zhang_1
一往情深	 yi_1 wang_3 qing_2 shen_1
一得	 yi_1 de_0
一念之间	 yi_2 nian_4 zhi_1 jian_1
一所	 yi_1 suo_3
一手	 yi_1 shou_3
一打	 yi_1 da_3
一把	 yi_1 ba_3
一排	 yi_1 pai_2
一支	 yi_1 zhi_1
一整	 yi_1 zheng_3
一新	 yi_1 xin_1
一方	 yi_1 fang_1
一族	 yi_1 zu_2
一无所有	 yi_1 wu_2 suo_3 you_3
一无所知	 yi_1 wu_2 suo_3 zhi_1
一日	 yi_1 ri_4
一日份	 yi_1 ri_4 fen_4
一旦	 yi_2 dan_4
一早	 yi_1 zao_3
一星级	 yi_1 xing_1 ji_2
一晃	 yi_1 huang_3
一晚	 yi_1 wan_3
一曲	 yi_1 qu_1
一月	 yi_2 yue_4
一期	 yi_1 qi_1
一本	 yi_1 ben_3
一朵朵	 yi_1 duo_3 duo_3
一村	 yi_1 cun_1
一杠	 yi_1 gang_1
一条	 yi_1 tiao_2
一条街	 yi_1 tiao_2 jie_1
一杯	 yi_1 bei_1
一枝花	 yi_1 zhi_1 hua_1
一栋	 yi_1 dong_4
一栏	 yi_1 lan_2
一样	 yi_1 yang_4
一根	 yi_1 gen_1
一格	 yi_1 ge_2
一档	 yi_1 dang_4
一棵	 yi_1 ke_1
一棵树	 yi_1 ke_1 shu_4
一楼	 yi_1 lou_2
一模一样	 yi_1 mu_2 yi_1 yang_4
一次	 yi_1 ci_4
一步	 yi_1 bu_4
一段	 yi_1 duan_4
一汽	 yi_1 qi_4
一汽大众	 yi_1 qi_4 da_4 zhong_4
一清二白	 yi_1 qing_1 er_4 bai_2
一点	 yi_4 dian_3
一点儿	 yi_4 dian_3 er_2
一点点	 yi_4 dian_3 dian_3
一点钟	 yi_4 dian_3 zhong_1
一班	 yi_1 ban_1
一生	 yi_1 sheng_1
一生一世	 yi_4 sheng_1 yi_2 shi_4
一生何求	 yi_1 sheng_1 he_2 qiu_2
一百	 yi_4 bai_3
一百一十	 yi_4 bai_3 yi_1 shi_2
一百一十二	 yi_4 bai_3 yi_1 shi_2 er_4
一百七	 yi_4 bai_3 qi_1
一百七十	 yi_4 bai_3 qi_1 shi_2
一百七十三	 yi_4 bai_3 qi_1 shi_2 san_1
一百七十四	 yi_4 bai_3 qi_1 shi_2 si_4
一百万	 yi_4 bai_3 wan_4
一百万个	 yi_4 bai_3 wan_4 ge_4
一百三十	 yi_4 bai_3 san_1 shi_2
一百三十八	 yi_4 bai_3 san_1 shi_2 ba_1
一百个	 yi_4 bai_3 ge_4
一百九十	 yi_4 bai_3 jiu_3 shi_2
一百九十三	 yi_4 bai_3 jiu_3 shi_2 san_1
一百九十八	 yi_4 bai_3 jiu_3 shi_2 ba_1
一百二十	 yi_1 bai_3 er_4 shi_2
一百二十五	 yi_1 bai_3 er_4 shi_2 wu_3
一百二十八	 yi_1 bai_3 er_4 shi_2 ba_1
一百二十六	 yi_1 bai_3 er_4 shi_2 liu_4
一百五十	 yi_4 bai_3 wu_3 shi_2
一百五十二	 yi_4 bai_3 wu_3 shi_2 er_4
一百五十五	 yi_4 bai_3 wu_3 shi_2 wu_3
一百五十元	 yi_4 bai_3 wu_3 shi_2 yuan_2
一百元	 yi_4 bai_3 yuan_2
一百八十	 yi_1 bai_3 ba_1 shi_2
一百八十七	 yi_1 bai_3 ba_1 shi_2 qi_1
一百六十	 yi_4 bai_3 liu_4 shi_2
一百六十五	 yi_4 bai_3 liu_4 shi_2 wu_3
一百六十四	 yi_4 bai_3 liu_4 shi_2 si_4
一百号	 yi_4 bai_3 hao_4
一百四十	 yi_4 bai_3 si_4 shi_2
一百四十九	 yi_4 bai_3 si_4 shi_2 jiu_3
一百块	 yi_4 bai_3 kuai_4
一百多	 yi_4 bai_3 duo_1
一百米	 yi_4 bai_3 mi_3
一百零七	 yi_4 bai_3 ling_2 qi_1
一百零三	 yi_4 bai_3 ling_2 san_1
一百零二	 yi_4 bai_3 ling_2 er_4
一百零五	 yi_4 bai_3 ling_2 wu_3
一百零八	 yi_4 bai_3 ling_2 ba_1
一百零六	 yi_4 bai_3 ling_2 liu_4
一盒	 yi_1 he_2
一直	 yi_4 zhi_2
一眼	 yi_1 yan_3
一瞬间	 yi_1 shun_4 jian_1
一种	 yi_1 zhong_3
一秒	 yi_1 miao_3
一站	 yi_1 zhan_4
一笑倾城	 yi_1 xiao_4 qing_1 cheng_2
一等	 yi_1 deng_3
一簇	 yi_1 cu_4
一米	 yi_1 mi_3
一米阳光	 yi_1 mi_3 yang_2 guang_1
一级	 yi_1 ji_2
一线	 yi_1 xian_4
一经	 yi_1 jing_1
一群	 yi_1 qun_2
一致	 yi_2 zhi_4
一般	 yi_4 ban_1
一起	 yi_4 qi_3
一趟	 yi_1 tang_4
一路	 yi_1 lu_4
一路上	 yi_1 lu_4 shang_4
一路平安	 yi_2 lu_4 ping_2 an_1
一路顺风	 yi_1 lu_4 shun_4 feng_1
一车	 yi_1 che_1
一轻	 yi_1 qing_1
一辆	 yi_1 liang_4
一辆车	 yi_1 liang_4 che_1
一辈	 yi_1 bei_4
一辈子	 yi_1 bei_4 zi_0
一途	 yi_1 tu_2
一通	 yi_2 tong_4
一遍	 yi_1 bian_4
一道	 yi_1 dao_4
一部	 yi_1 bu_4
一醉方休	 yi_1 zui_4 fang_1 xiu_1
一门	 yi_1 men_2
一间	 yi_1 jian_1
一零一	 yi_1 ling_2 yi_1
一面	 yi_2 mian_4
一页	 yi_1 ye_4
一顿	 yi_1 dun_4
一颗	 yi_1 ke_1
一首	 yi_1 shou_3
一首七	 yi_1 shou_3 qi_1
一首五	 yi_1 shou_3 wu_3
一首名	 yi_1 shou_3 ming_2
一首歌	 yi_1 shou_3 ge_1
丁	 ding_1
丁卯	 ding_1 mao_3
丁宁	 ding_1 ning_2
丁庄镇	 ding_1 zhuang_1 zhen_4
丁当	 ding_1 dang_1
丁香	 ding_1 xiang_1
丁香花	 ding_1 xiang_1 hua_1
七	 qi_1
七一	 qi_1 yi_1
七七	 qi_1 qi_1
七七七	 qi_1 qi_1 qi_1
七三	 qi_1 san_1
七两	 qi_1 liang_3
七个	 qi_1 ge_4
七九	 qi_1 jiu_3
七五	 qi_1 wu_3
七倍	 qi_1 bei_4
七八	 qi_1 ba_1
七六	 qi_1 liu_4
七分	 qi_1 fen_1
七匹狼	 qi_1 pi_3 lang_2
七区	 qi_1 qu_1
七十	 qi_1 shi_2
七十一	 qi_1 shi_2 yi_1
七十七	 qi_1 shi_2 qi_1
七十三	 qi_1 shi_2 san_1
七十九	 qi_1 shi_2 jiu_3
七十二	 qi_1 shi_2 er_4
七十五	 qi_1 shi_2 wu_3
七十八	 qi_1 shi_2 ba_1
七十六	 qi_1 shi_2 liu_4
七十四	 qi_1 shi_2 si_4
七十年代	 qi_1 shi_2 nian_2 dai_4
七十米	 qi_1 shi_2 mi_3
七千	 qi_1 qian_1
七千四百	 qi_1 qian_1 si_4 bai_3
七台河	 qi_1 tai_2 he_2
七号	 qi_1 hao_4
七夕	 qi_1 xi_1
七天	 qi_1 tian_1
七宝	 qi_1 bao_3
七家	 qi_1 jia_1
七度	 qi_1 du_4
七彩	 qi_1 cai_3
七日	 qi_1 ri_4
七星	 qi_1 xing_1
七月	 qi_1 yue_4
七朵	 qi_1 duo_3
七棵	 qi_1 ke_1
七楼	 qi_1 lou_2
七次	 qi_1 ci_4
七点	 qi_1 dian_3
七点钟	 qi_1 dian_3 zhong_1
七百	 qi_1 bai_3
七百元	 qi_1 bai_3 yuan_2
七站	 qi_1 zhan_4
七色	 qi_1 se_4
七路	 qi_1 lu_4
七都镇	 qi_1 dou_1 zhen_4
七里	 qi_1 li_3
七里河区	 qi_1 li_3 he_2 qu_1
七里香	 qi_1 li_3 xiang_1
七零八	 qi_1 ling_2 ba_1
七颗	 qi_1 ke_1
万	 wan_4
万事达	 wan_4 shi_4 da_2
万众	 wan_4 zhong_4
万全县	 wan_4 quan_2 xian_4
万分之一	 wan_4 fen_1 zhi_1 yi_1
万千	 wan_4 qian_1
万国	 wan_4 guo_2
万圣节	 wan_4 sheng_4 jie_2
万基	 wan_4 ji_1
万宁	 wan_4 ning_2
万宁市	 wan_4 ning_2 shi_4
万安	 wan_4 an_1
万宝	 wan_4 bao_3
万家	 wan_4 jia_1
万寿宫	 wan_4 shou_4 gong_1
万寿寺	 wan_4 shou_4 si_4
万寿路	 wan_4 shou_4 lu_4
万峰	 wan_4 feng_1
万州	 wan_4 zhou_1
万州区	 wan_4 zhou_1 qu_1
万年	 wan_4 nian_2
万恶	 wan_4 e_4
万方	 wan_4 fang_1
万春	 wan_4 chun_1
万民	 wan_4 min_2
万泉寺	 wan_4 quan_2 si_4
万泉庄	 wan_4 quan_2 zhuang_1
万泉河	 wan_4 quan_2 he_2
万源	 wan_4 yuan_2
万物	 wan_4 wu_4
万福	 wan_4 fu_2
万科	 wan_4 ke_1
万紫千红	 wan_4 zi_3 qian_1 hong_2
万能	 wan_4 neng_2
万能胶	 wan_4 neng_2 jiao_1
万荣	 wan_4 rong_2
万象	 wan_4 xiang_4
万豪	 wan_4 hao_2
万达	 wan_4 da_2
万达国际影城	 wan_4 da_2 guo_2 ji_4 ying_3 cheng_2
万通	 wan_4 tong_1
万邦	 wan_4 bang_1
万里	 wan_4 li_3
万里长城	 wan_4 li_3 chang_2 cheng_2
丈	 zhang_4
三	 san_1
三七	 san_1 qi_1
三七开	 san_1 qi_1 kai_1
三七等	 san_1 qi_1 deng_3
三万	 san_1 wan_4
三万英尺	 san_1 wan_4 ying_1 chi_3
三三	 san_1 san_1
三世	 san_1 shi_4
三丝	 san_1 si_1
三两	 san_1 liang_3
三个	 san_1 ge_4
三中	 san_1 zhong_1
三丰	 san_1 feng_1
三义	 san_1 yi_4
三九	 san_1 jiu_3
三二	 san_1 er_4
三二六	 san_1 er_4 liu_4
三二零	 san_1 er_4 ling_2
三五	 san_1 wu_3
三五十米	 san_1 wu_3 shi_2 mi_3
三亚	 san_1 ya_4
三亚市	 san_1 ya_4 shi_4
三人行	 san_1 ren_2 xing_2
三人间	 san_1 ren_2 jian_1
三从四德	 san_1 cong_2 si_4 de_2
三优	 san_1 you_1
三元	 san_1 yuan_2
三元里	 san_1 yuan_2 li_3
三克	 san_1 ke_4
三八	 san_1 ba_1
三公	 san_1 gong_1
三六	 san_1 liu_4
三农	 san_1 nong_2
三分	 san_1 fen_1
三分之二	 san_1 fen_1 zhi_1 er_4
三区	 san_1 qu_1
三十	 san_1 shi_2
三十一	 san_1 shi_2 yi_1
三十一日	 san_1 shi_2 yi_1 ri_4
三十一点	 san_1 shi_2 yi_4 dian_3
三十七	 san_1 shi_2 qi_1
三十三	 san_1 shi_2 san_1
三十九	 san_1 shi_2 jiu_3
三十九号	 san_1 shi_2 jiu_3 hao_4
三十二	 san_1 shi_2 er_4
三十二路	 san_1 shi_2 er_4 lu_4
三十五	 san_1 shi_2 wu_3
三十五等	 san_1 shi_2 wu_3 deng_3
三十元	 san_1 shi_2 yuan_2
三十八	 san_1 shi_2 ba_1
三十六	 san_1 shi_2 liu_4
三十六点	 san_1 shi_2 liu_4 dian_3
三十四	 san_1 shi_2 si_4
三十四点	 san_1 shi_2 si_4 dian_3
三十块	 san_1 shi_2 kuai_4
三十岁	 san_1 shi_2 sui_4
三十日	 san_1 shi_2 ri_4
三十米	 san_1 shi_2 mi_3
三十里	 san_1 shi_2 li_3
三十里铺	 san_1 shi_2 li_3 pu_4
三千	 san_1 qian_1
三千七百	 san_1 qian_1 qi_1 bai_3
三千两	 san_1 qian_1 liang_3
三千五百	 san_1 qian_1 wu_3 bai_3
三千元	 san_1 qian_1 yuan_2
三千八百	 san_1 qian_1 ba_1 bai_3
三千六百	 san_1 qian_1 liu_4 bai_3
三千米	 san_1 qian_1 mi_3
三友	 san_1 you_3
三口	 san_1 kou_3
三只	 san_1 zhi_3
三只手	 san_1 zhi_1 shou_3
三台	 san_1 tai_2
三台山	 san_1 tai_2 shan_1
三号	 san_1 hao_4
三合	 san_1 he_2
三周	 san_1 zhou_1
三品	 san_1 pin_3
三四	 san_1 si_4
三围	 san_1 wei_2
三国	 san_1 guo_2
三国演义	 san_1 guo_2 yan_3 yi_4
三块	 san_1 kuai_4
三天	 san_1 tian_1
三天三夜	 san_1 tian_1 san_1 ye_4
三字经	 san_1 zi_4 jing_1
三定	 san_1 ding_4
三宝	 san_1 bao_3
三室	 san_1 shi_4
三家子	 san_1 jia_1 zi_0
三家店	 san_1 jia_1 dian_4
三寸	 san_1 cun_4
三层	 san_1 ceng_2
三山	 san_1 shan_1
三峡	 san_1 xia_2
三巷	 san_1 xiang_4
三幢	 san_1 chuang_2
三年级	 san_1 nian_2 ji_2
三度	 san_1 du_4
三座	 san_1 zuo_4
三弄	 san_1 nong_4
三打	 san_1 da_3
三教	 san_1 jiao_4
三方	 san_1 fang_1
三日	 san_1 ri_4
三明	 san_1 ming_2
三明市	 san_1 ming_2 shi_4
三星	 san_1 xing_1
三星期	 san_1 xing_1 qi_1
三星级	 san_1 xing_1 ji_2
三晚	 san_1 wan_3
三月	 san_1 yue_4
三月份	 san_1 yue_4 fen_4
三期	 san_1 qi_1
三木	 san_1 mu_4
三本	 san_1 ben_3
三杠	 san_1 gang_1
三条	 san_1 tiao_2
三栋	 san_1 dong_4
三档	 san_1 dang_4
三桥	 san_1 qiao_2
三次	 san_1 ci_4
三次方	 san_1 ci_4 fang_1
三段	 san_1 duan_4
三毛	 san_1 mao_2
三水	 san_1 shui_3
三水区	 san_1 shui_3 qu_1
三江	 san_1 jiang_1
三河	 san_1 he_2
三河市	 san_1 he_2 shi_4
三泉	 san_1 quan_2
三清山	 san_1 qing_1 shan_1
三湘	 san_1 xiang_1
三湾	 san_1 wan_1
三点	 san_1 dian_3
三点钟	 san_1 dian_3 zhong_1
三环	 san_1 huan_2
三生	 san_1 sheng_1
三田	 san_1 tian_2
三百	 san_1 bai_3
三百三十一	 san_1 bai_3 san_1 shi_2 yi_1
三百二十四	 san_1 bai_3 er_4 shi_2 si_4
三百五十	 san_1 bai_3 wu_3 shi_2
三百元	 san_1 bai_3 yuan_2
三百六	 san_1 bai_3 liu_4
三百六十	 san_1 bai_3 liu_4 shi_2
三百六十五	 san_1 bai_3 liu_4 shi_2 wu_3
三百六十五个	 san_1 bai_3 liu_4 shi_2 wu_3 ge_4
三百六十五天	 san_1 bai_3 liu_4 shi_2 wu_3 tian_1
三百六十天	 san_1 bai_3 liu_4 shi_2 tian_1
三百块	 san_1 bai_3 kuai_4
三百多	 san_1 bai_3 duo_1
三百多元	 san_1 bai_3 duo_1 yuan_2
三百左右	 san_1 bai_3 zuo_3 you_4
三百米	 san_1 bai_3 mi_3
三种	 san_1 zhong_3
三等	 san_1 deng_3
三维	 san_1 wei_2
三美	 san_1 mei_3
三菱	 san_1 ling_2
三营	 san_1 ying_2
三角	 san_1 jiao_3
三角形	 san_1 jiao_3 xing_2
三起	 san_1 qi_3
三路	 san_1 lu_4
三部曲	 san_1 bu_4 qu_3
三里	 san_1 li_3
三里屯	 san_1 li_3 tun_2
三里河	 san_1 li_3 he_2
三重	 san_1 chong_2
三门	 san_1 men_2
三门峡	 san_1 men_2 xia_2
三门峡市	 san_1 men_2 xia_2 shi_4
三阳	 san_1 yang_2
三院	 san_1 yuan_4
三首	 san_1 shou_3
上	 shang_4
上一曲	 shang_4 yi_1 qu_1
上一页	 shang_4 yi_1 ye_4
上一首	 shang_4 yi_1 shou_3
上一首歌	 shang_4 yi_1 shou_3 ge_1
上三	 shang_4 san_1
上下	 shang_4 xia_4
上个星期	 shang_4 ge_4 xing_1 qi_1
上个月	 shang_4 ge_4 yue_4
上交	 shang_4 jiao_1
上体	 shang_4 ti_3
上勤	 shang_4 qin_2
上升	 shang_4 sheng_1
上午	 shang_4 wu_3
上去	 shang_3 qu_4
上古	 shang_4 gu_3
上台	 shang_4 tai_2
上周	 shang_4 zhou_1
上品	 shang_4 pin_3
上城	 shang_4 cheng_2
上天	 shang_4 tian_1
上学	 shang_4 xue_2
上官	 shang_4 guan_1
上山	 shang_4 shan_1
上帝	 shang_4 di_4
上庄	 shang_4 zhuang_1
上房	 shang_4 fang_2
上排	 shang_4 pai_2
上映	 shang_4 ying_4
上栗县	 shang_4 li_4 xian_4
上档次	 shang_4 dang_4 ci_4
上次	 shang_4 ci_4
上汽	 shang_4 qi_4
上海	 shang_4 hai_3
上海东方	 shang_4 hai_3 dong_1 fang_1
上海交大	 shang_4 hai_3 jiao_1 da_4
上海交通大学	 shang_4 hai_3 jiao_1 tong_1 da_4 xue_2
上海体育馆	 shang_4 hai_3 ti_3 yu_4 guan_3
上海动物园	 shang_4 hai_3 dong_4 wu_4 yuan_2
上海医学院	 shang_4 hai_3 yi_1 xue_2 yuan_4
上海华山医院	 shang_4 hai_3 hua_4 shan_1 yi_1 yuan_4
上海南京路	 shang_4 hai_3 nan_2 jing_1 lu_4
上海博物馆	 shang_4 hai_3 bo_2 wu_4 guan_3
上海大众	 shang_4 hai_3 da_4 zhong_4
上海大学	 shang_4 hai_3 da_4 xue_2
上海对外贸易学院	 shang_4 hai_3 dui_4 wai_4 mao_4 yi_4 xue_2 yuan_4
上海市	 shang_4 hai_3 shi_4
上海市公安局	 shang_4 hai_3 shi_4 gong_1 an_1 ju_2
上海市浦东新区	 shang_4 hai_3 shi_4 pu_3 dong_1 xin_1 qu_1
上海师范大学	 shang_4 hai_3 shi_1 fan_4 da_4 xue_2
上海戏剧学院	 shang_4 hai_3 xi_4 ju_4 xue_2 yuan_4
上海浦东	 shang_4 hai_3 pu_3 dong_1
上海浦东发展银行	 shang_4 hai_3 pu_3 dong_1 fa_1 zhan_3 yin_2 hang_2
上海浦东国际机场	 shang_4 hai_3 pu_3 dong_1 guo_2 ji_4 ji_1 chang_3
上海浦东新区	 shang_4 hai_3 pu_3 dong_1 xin_1 qu_1
上海海关	 shang_4 hai_3 hai_3 guan_1
上海滩	 shang_4 hai_3 tan_1
上海理工大学	 shang_4 hai_3 li_3 gong_1 da_4 xue_2
上海站	 shang_4 hai_3 zhan_4
上海虹桥机场	 shang_4 hai_3 hong_2 qiao_2 ji_1 chang_3
上海街	 shang_4 hai_3 jie_1
上海财经大学	 shang_4 hai_3 cai_2 jing_1 da_4 xue_2
上海通用	 shang_4 hai_3 tong_1 yong_4
上海银行	 shang_4 hai_3 yin_2 hang_2
上海音乐学院	 shang_4 hai_3 yin_1 yue_4 xue_2 yuan_4
上演	 shang_4 yan_3
上班	 shang_4 ban_1
上级	 shang_4 ji_2
上线	 shang_4 xian_4
上网	 shang_4 wang_3
上虞	 shang_4 yu_2
上虞市	 shang_4 yu_2 shi_4
上街	 shang_4 jie_1
上调	 shang_4 diao_4
上路	 shang_4 lu_4
上部	 shang_4 bu_4
上钢	 shang_4 gang_1
上铺	 shang_4 pu_4
上院	 shang_4 yuan_4
上面	 shang_4 mian_4
上饶	 shang_4 rao_2
上马	 shang_4 ma_3
下	 xia_4
下一曲	 xia_4 yi_1 qu_1
下一页	 xia_4 yi_1 ye_4
下一首	 xia_4 yi_1 shou_3
下一首歌	 xia_4 yi_1 shou_3 ge_1
下世纪	 xia_4 shi_4 ji_4
下个星期	 xia_4 ge_4 xing_1 qi_1
下个月	 xia_4 ge_4 yue_4
下关	 xia_4 guan_1
下到	 xia_4 dao_4
下午	 xia_4 wu_3
下午茶	 xia_4 wu_3 cha_2
下去	 xia_4 qu_4
下周	 xia_4 zhou_1
下周一	 xia_4 zhou_1 yi_1
下周三	 xia_4 zhou_1 san_1
下周二	 xia_4 zhou_1 er_4
下周五	 xia_4 zhou_1 wu_3
下周六	 xia_4 zhou_1 liu_4
下周四	 xia_4 zhou_1 si_4
下周日	 xia_4 zhou_1 ri_4
下在	 xia_4 zai_4
下定决心	 xia_4 ding_4 jue_2 xin_1
下寨村	 xia_4 zhai_4 cun_1
下山	 xia_4 shan_1
下放	 xia_4 fang_4
下星期	 xia_4 xing_1 qi_1
下来	 xia_4 lai_2
下次	 xia_4 ci_4
下水	 xia_4 shui_3
下沙	 xia_4 sha_1
下游	 xia_4 you_2
下焦	 xia_4 jiao_1
下班	 xia_4 ban_1
下课	 xia_4 ke_4
下调	 xia_4 diao_4
下车	 xia_4 che_1
下载	 xia_4 zai_4
下辈子	 xia_4 bei_4 zi_0
下过	 xia_4 guo_4
下降	 xia_4 jiang_4
下雨	 xia_4 yu_3
下雨天	 xia_4 yu_3 tian_1
下雪	 xia_4 xue_3
下面	 xia_4 mian_4
不	 bu_4
不一	 bu_4 yi_1
不下	 bu_4 xia_4
不下雨	 bu_4 xia_4 yu_3
不丹	 bu_4 dan_1
不了	 bu_4 liao_3
不了情	 bu_4 liao_3 qing_2
不二	 bu_4 er_4
不会	 bu_2 hui_4
不再	 bu_4 zai_4
不准	 bu_4 zhun_3
不凡	 bu_4 fan_2
不到	 bu_2 dao_4
不动产	 bu_4 dong_4 chan_3
不单单是	 bu_4 dan_1 dan_1 shi_4
不变	 bu_4 bian_4
不可思议	 bu_4 ke_3 si_1 yi_4
不同	 bu_4 tong_2
不在	 bu_4 zai_4
不堵车	 bu_4 du_3 che_1
不夜城	 bu_4 ye_4 cheng_2
不大不小	 bu_4 da_4 bu_4 xiao_3
不好	 bu_4 hao_3
不如	 bu_4 ru_2
不孕	 bu_4 yun_4
不得不	 bu_4 de_2 bu_4
不想	 bu_4 xiang_3
不敢	 bu_4 gan_3
不易	 bu_4 yi_4
不是	 bu_2 shi_4
不法之徒	 bu_4 fa_3 zhi_1 tu_2
不然	 bu_4 ran_2
不用	 bu_4 yong_4
不育	 bu_4 yu_4
不能	 bu_4 neng_2
不行	 bu_4 xing_2
不要	 bu_2 yao_4
不见	 bu_2 jian_4
不让	 bu_4 rang_4
不该	 bu_4 gai_1
不远	 bu_4 yuan_3
不配	 bu_4 pei_4
不锈钢	 bu_4 xiu_4 gang_1
不错	 bu_4 cuo_4
与	 yu_3
丑八怪	 chou_3 ba_1 guai_4
专	 zhuan_1
专业	 zhuan_1 ye_4
专利	 zhuan_1 li_4
专卖店	 zhuan_1 mai_4 dian_4
